Area	Index	GV	MPM Vol-L	MPM Vol-R	MPM CoG-L			MPM CoG-R			MPM mean-L	MPM mean-R	PMap Vol-L	PMap Vol-R	PMap CoG-L			PMap CoG-R			PMap mean-L	PMap mean-R	
Area 7A (SPL)  	42	165	10014	6210	-20.5	-66.9	64.3	20.8	-67.6	66.0	51.5	53.1	7707	5507	-18.5	-67.3	58.9	19.6	-67.6	62.6	28.1	25.0	
Area 7M (SPL)  	13	120	1233	818	-0.6	-81.9	40.3	4.9	-81.3	42.2	44.7	46.9	982	561	-1.8	-80.5	39.3	5.3	-80.2	42.4	22.6	26.0	

Area 7P (SPL)  	80	224	2787	3771	-7.3	-80.6	54.5	13.9	-79.5	59.0	47.1	52.1	2705	2868	-8.6	-76.8	53.2	14.8	-77.0	56.8	23.2	29.1	
Area 7PC (SPL) 	43	167	1360	3626	-33.0	-53.6	64.0	30.4	-54.2	65.7	41.9	48.7	2025	3577	-29.9	-55.0	62.4	30.1	-52.2	61.9	17.8	22.6	
Area FG1       	31	148	2038	1992	-28.9	-71.8	-7.5	32.7	-69.0	-8.8	50.4	47.0	2357	2284	-31.7	-72.6	-8.7	34.8	-71.2	-9.5	23.2	22.6	

Area FG2       	46	171	4067	2591	-44.1	-70.1	-12.6	44.7	-68.0	-13.6	49.6	48.7	3711	2763	-41.4	-68.5	-11.8	43.3	-69.0	-11.8	25.9	21.3	
Area FG4       	15	123	6621	5252	-43.2	-49.3	-16.0	43.4	-48.9	-18.4	57.1	55.2	5546	4285	-42.0	-50.2	-15.2	43.5	-49.3	-17.7	28.5	27.0	
Area Fo1       	45	170	3714	3961	-7.2	36.9	-18.0	9.4	36.2	-18.1	66.6	68.2	3263	3467	-8.5	35.3	-17.5	10.4	34.6	-17.4	40.2	43.3	

Area Fo2       	6	109	3690	3314	-8.9	16.6	-15.4	9.6	16.2	-15.3	67.4	66.1	3193	2832	-9.8	18.6	-15.8	11.1	18.4	-15.9	42.0	41.0	
Area Fo3       	29	145	8333	8813	-22.5	28.4	-15.6	23.4	27.5	-16.1	64.9	66.0	6724	7285	-22.7	28.1	-14.8	23.5	28.1	-15.2	40.5	40.7	
Area Fp1       	77	219	14418	13615	-17.0	58.5	4.4	19.0	58.3	3.9	70.7	67.9	11880	11033	-16.8	56.5	6.2	19.6	55.5	6.6	48.1	43.8	

Area Fp2       	84	230	5788	4890	-3.7	52.9	3.3	6.5	53.4	4.0	64.5	62.9	4831	4176	-4.8	53.4	4.0	7.5	53.6	3.8	40.1	39.4	
Area Id1       	17	126	941	1307	-41.0	-16.3	-4.7	42.3	-13.9	-6.7	45.0	47.0	764	1002	-41.7	-16.1	-3.5	42.5	-13.2	-5.6	21.3	23.8	
Area Ig1       	88	236	547	605	-33.7	-28.0	12.8	34.8	-26.6	11.0	47.4	50.4	559	684	-35.7	-27.2	12.9	36.9	-25.3	12.6	20.0	18.9	

Area Ig2       	67	204	1079	1268	-38.4	-21.7	10.8	39.2	-19.8	9.8	39.4	39.5	829	964	-39.0	-21.4	10.3	39.9	-19.8	10.0	18.9	19.0	
Area OP1 [SII] 	14	122	2999	3157	-51.6	-27.4	21.0	53.5	-25.9	20.9	44.7	40.2	2700	2554	-52.8	-28.9	21.9	53.8	-25.3	21.4	20.4	19.5	
Area OP2 [PIVC]	25	139	461	707	-36.0	-28.5	22.7	35.5	-26.1	21.8	46.9	49.2	479	704	-37.7	-27.7	21.1	38.3	-23.8	19.7	18.6	18.9	

Area OP3 [VS]  	30	147	1125	1682	-40.2	-18.3	20.7	40.5	-14.8	19.6	48.1	42.9	1035	1505	-43.4	-17.5	17.9	43.2	-14.6	16.8	19.6	18.9	
Area OP4 [PV]  	47	173	2887	2494	-59.3	-15.6	19.1	60.8	-13.2	16.4	42.9	38.6	2229	2272	-55.5	-15.7	18.0	56.5	-13.1	15.6	20.6	17.9	
Area PF (IPL)  	23	136	4173	5414	-58.5	-43.1	41.1	63.1	-38.2	34.4	48.9	49.8	3959	4565	-56.2	-46.0	38.2	59.6	-39.0	34.7	22.2	24.8	

Area PFcm (IPL)	34	153	2581	2597	-51.4	-41.6	25.8	53.5	-37.0	26.5	40.5	41.7	2020	2064	-54.1	-40.4	26.5	55.3	-34.7	25.7	20.4	19.7	
Area PFm (IPL) 	18	128	4678	5668	-54.4	-56.5	41.6	55.8	-50.3	43.4	43.8	47.4	4285	4356	-51.8	-57.6	40.0	54.1	-49.2	39.9	24.3	25.1	
Area PFop (IPL)	16	125	1772	1820	-59.9	-29.9	28.4	58.5	-24.4	29.3	44.8	38.6	1830	1614	-58.5	-29.3	28.8	57.4	-26.2	29.0	19.6	17.4	

Area PFt (IPL) 	90	240	4647	3317	-54.5	-32.5	42.4	54.7	-29.6	42.3	49.8	49.9	3840	3243	-54.1	-33.0	41.3	55.5	-29.4	40.8	29.0	23.8	
Area PGa (IPL) 	65	201	5072	5911	-47.6	-65.4	41.6	54.3	-59.7	34.5	46.5	49.2	5143	5433	-46.5	-66.5	38.8	51.4	-58.8	35.2	23.4	23.4	
Area PGp (IPL) 	63	198	6645	7903	-44.0	-77.9	33.0	46.9	-74.6	34.6	51.0	57.1	5229	6443	-43.2	-74.5	33.8	45.8	-72.7	33.1	27.2	31.6	

Area TE 1.0    	71	210	985	1209	-47.5	-22.1	11.3	50.4	-17.3	9.7	39.1	39.4	1126	1127	-47.9	-23.2	13.4	50.3	-19.0	10.9	16.3	16.4	
Area TE 1.1    	73	213	1292	1622	-38.5	-32.9	15.2	40.9	-29.4	14.4	47.1	48.1	1198	1293	-41.7	-31.2	14.9	42.7	-27.0	13.3	20.8	22.8	
Area TE 1.2    	76	218	1119	834	-52.1	-9.8	5.8	55.5	-7.2	4.2	35.9	35.4	981	718	-52.5	-9.7	5.5	55.1	-7.2	5.0	17.6	14.6	

Area TE 3      	52	181	7105	8333	-63.2	-17.1	4.7	64.5	-13.7	2.0	51.1	58.1	4930	6130	-61.4	-19.0	5.6	62.7	-15.8	3.6	28.1	33.0	
Area hIP1 (IPS)	20	131	2927	2325	-37.3	-54.4	44.9	40.8	-52.8	43.5	45.1	46.3	2545	2089	-37.5	-55.7	45.7	39.7	-53.0	45.0	22.5	18.6	
Area hIP2 (IPS)	81	226	1804	1694	-46.6	-47.1	48.2	44.7	-44.8	49.1	42.0	42.5	1590	1445	-45.7	-46.6	47.3	45.6	-43.1	48.7	18.4	16.6	

Area hIP3 (IPS)	37	157	3660	3658	-32.5	-59.2	50.5	34.8	-55.7	54.7	44.6	40.8	3044	3090	-32.5	-58.5	51.1	33.7	-57.3	55.6	23.0	23.2	
Area hOc1 [V1] 	96	249	16163	16508	-8.5	-88.0	6.1	14.2	-84.0	6.2	50.7	58.3	11216	12028	-11.2	-87.3	5.8	15.6	-82.3	6.4	31.9	37.4	
Area hOc2 [V2] 	98	252	7536	8135	-9.5	-90.2	8.3	14.1	-87.3	7.9	42.9	46.8	9584	9094	-12.0	-87.4	7.5	15.5	-82.9	7.5	22.0	25.5	

Area hOc3d [V3d]	64	199	7942	4411	-10.7	-94.6	25.3	15.0	-92.4	26.7	48.4	44.2	6703	4305	-12.8	-93.1	21.7	18.2	-90.7	22.5	26.9	22.0	
Area hOc3v [V3v]	5	108	7457	6848	-17.8	-90.0	-5.7	23.3	-86.8	-5.5	49.3	51.2	6689	5863	-19.9	-89.0	-2.4	23.5	-85.9	-3.7	27.4	29.0	
Area hOc4d [V3A]	28	143	4571	3369	-16.4	-91.4	33.0	20.0	-91.5	33.4	45.1	45.2	4550	3138	-15.0	-91.1	29.6	19.4	-90.2	28.9	24.7	23.7	

Area hOc4la    	40	162	6837	7096	-45.2	-81.3	4.1	48.0	-77.6	3.6	59.6	61.1	5690	5790	-42.3	-81.7	4.2	46.6	-77.5	5.1	32.9	36.1	
Area hOc4lp    	86	233	6813	4462	-32.8	-93.8	11.0	37.3	-91.5	9.2	54.7	55.1	5449	3953	-32.5	-92.3	9.6	35.4	-90.8	9.9	30.9	27.1	
Area hOc4v [V4(v)]	2	103	5829	4980	-26.4	-83.5	-8.0	32.5	-81.1	-8.4	55.3	53.9	5584	4764	-25.2	-83.5	-6.0	30.7	-82.2	-6.3	29.6	28.4	

Area hOc5 [V5/MT]	3	105	648	470	-42.4	-75.5	6.5	49.1	-70.0	8.0	47.1	47.8	860	873	-44.4	-77.0	6.3	50.0	-72.7	5.4	21.8	19.6	
Area s24       	99	253	1355	1167	-3.1	19.5	-5.3	3.5	19.3	-5.0	61.5	57.6	1234	1049	-3.7	22.7	-5.1	4.4	21.5	-4.8	28.2	25.7	
Area s32       	1	102	1683	1164	-5.9	30.7	-7.5	4.6	29.9	-7.6	51.2	51.4	1412	1030	-6.3	32.2	-6.1	5.6	31.2	-6.9	22.6	22.0	

BF (Ch 1-3)    	9	114	255	209	-2.2	-0.2	-4.6	3.3	0.3	-4.3	51.4	48.8	211	188	-3.3	-0.3	-5.3	5.2	0.7	-4.7	24.2	19.4	
BF (Ch 4)      	27	142	402	333	-17.8	-6.7	-7.5	19.2	-6.0	-7.0	42.2	42.2	337	295	-18.9	-7.7	-7.8	19.6	-6.5	-7.1	17.2	16.4	
CA1 (Hippocampus)	89	238	1739	2291	-28.8	-24.8	-13.0	30.9	-23.9	-12.7	46.7	49.1	1607	1814	-26.8	-27.7	-10.9	27.9	-25.2	-10.7	22.4	25.7	

CA2 (Hippocampus)	10	116	435	489	-30.4	-23.2	-10.1	31.2	-26.0	-8.0	38.5	38.6	432	530	-29.6	-26.4	-9.1	30.1	-26.3	-8.7	16.9	16.8	
CA3 (Hippocampus)	44	168	325	474	-25.6	-21.7	-12.7	26.9	-25.5	-9.6	44.8	39.6	540	626	-26.0	-28.3	-8.0	26.9	-27.9	-7.7	15.0	16.9	
DG (Hippocampus)	32	150	1330	1045	-28.3	-32.5	-6.4	29.1	-31.7	-6.6	44.0	43.6	1141	1063	-27.3	-28.6	-9.2	28.6	-27.6	-9.3	23.1	22.8	

Dorsal Dentate Nucleus	87	235	1287	954	-16.4	-60.9	-31.6	15.1	-63.8	-32.2	50.6	44.8	1136	863	-15.9	-61.2	-32.6	14.2	-63.4	-32.3	21.7	16.6	
Entorhinal Cortex	83	229	2274	2566	-21.5	-11.1	-29.3	23.3	-8.8	-29.0	51.3	51.3	1735	1809	-22.8	-12.1	-28.6	24.4	-8.5	-29.5	26.7	27.6	
Fastigii Nucleus	100	255	344	229	-3.3	-58.9	-24.2	3.7	-58.2	-24.4	48.3	47.6	289	208	-4.3	-58.4	-25.0	4.4	-58.0	-25.4	24.4	22.5	

HATA Region    	48	174	189	177	-16.4	-15.6	-14.9	16.8	-14.0	-13.7	37.8	37.3	141	122	-16.7	-14.7	-15.5	17.6	-13.3	-13.9	17.8	16.4	
Lobule I IV (Hem)	74	215	3859	3991	-7.2	-45.2	-11.5	11.0	-41.9	-15.3	68.9	67.2	3319	3440	-10.8	-45.3	-14.3	12.7	-43.3	-16.4	31.0	31.8	
Lobule IX (Hem)	22	134	4996	5619	-7.7	-57.0	-43.8	8.0	-58.2	-44.3	68.7	72.3	4145	4886	-10.7	-54.4	-42.6	11.0	-56.2	-44.1	35.8	38.8	

Lobule IX (Verm)	70	209	706	803	-2.0	-59.3	-33.4	2.5	-59.7	-34.5	67.1	68.3	706	811	-3.4	-60.6	-34.3	3.8	-60.6	-34.7	26.7	28.6	
Lobule V (Hem) 	95	247	5827	6348	-12.8	-51.2	-12.7	13.4	-51.4	-13.3	64.7	65.4	5299	5636	-16.1	-52.9	-15.8	16.5	-51.6	-16.2	27.2	29.7	
Lobule VI (Hem)	79	222	15037	14452	-21.7	-62.2	-19.1	23.7	-61.0	-20.9	76.1	73.3	13969	13054	-22.0	-62.6	-20.0	23.3	-61.1	-21.0	40.6	38.2	

Lobule VI (Verm)	8	112	1683	1857	-1.1	-76.6	-15.0	3.3	-76.5	-15.4	64.3	63.5	1392	1515	-2.2	-75.2	-15.9	4.2	-75.1	-16.1	29.0	29.9	
Lobule VIIIa (Hem)	69	207	6092	5812	-27.0	-59.6	-48.6	27.4	-60.5	-50.0	65.2	63.1	5778	5159	-27.8	-59.7	-45.7	24.6	-63.1	-46.9	29.5	30.1	
Lobule VIIIa (Verm)	53	182	1182	1692	-2.9	-72.1	-31.3	4.7	-73.0	-32.8	58.1	61.6	946	1329	-3.6	-71.8	-30.3	5.4	-72.8	-32.5	27.2	31.1	

Lobule VIIIb (Hem)	62	196	4865	5723	-19.0	-53.6	-49.5	19.0	-54.5	-50.4	68.3	69.8	4659	5202	-19.3	-54.9	-47.0	19.3	-56.8	-48.4	33.3	36.4	
Lobule VIIIb (Verm)	35	154	493	567	-3.6	-69.0	-37.4	4.5	-69.1	-37.2	58.0	60.8	467	632	-4.0	-67.5	-34.1	5.5	-68.2	-35.5	19.2	21.7	
Lobule VIIa crusI (Hem)	72	212	24326	25997	-37.0	-72.3	-28.2	37.5	-72.0	-30.0	78.8	77.7	21647	22740	-34.4	-71.8	-28.5	34.0	-71.3	-29.4	53.3	51.1	

Lobule VIIa crusI (Verm)	24	137	23	4	-2.2	-90.2	-22.5	4.8	-83.8	-23.5	25.8	14.4	52	30	-2.8	-87.3	-22.5	5.0	-84.9	-21.8	6.5	4.7	
Lobule VIIa crusII (Hem)	75	216	13068	11327	-30.8	-76.4	-39.2	27.3	-79.8	-39.6	69.6	70.3	11463	10464	-32.0	-73.0	-37.8	29.2	-75.0	-38.4	39.4	33.9	
Lobule VIIa crusII (Verm)	26	140	357	455	-0.8	-85.3	-27.9	3.5	-84.3	-28.7	62.3	58.7	326	446	-1.9	-83.5	-26.0	4.2	-83.4	-27.9	22.7	20.8	

Lobule VIIb (Hem)	41	164	5435	5251	-29.3	-68.5	-46.5	29.5	-69.0	-47.7	61.5	58.1	5518	4699	-31.0	-65.7	-43.9	27.5	-68.3	-45.1	26.4	26.5	
Lobule VIIb (Verm)	68	205	244	259	-2.2	-77.5	-26.5	4.2	-76.8	-26.7	51.5	48.8	274	311	-3.0	-77.4	-28.3	5.0	-77.4	-30.4	14.6	12.7	
Lobule X (Hem) 	78	221	1005	803	-21.8	-40.0	-41.7	22.9	-41.0	-42.0	58.1	57.4	830	646	-20.2	-42.3	-41.2	20.6	-42.7	-41.4	20.6	19.6	

Lobule X (Verm)	54	184	108	140	-1.3	-49.7	-32.3	2.3	-50.1	-33.2	60.7	61.9	140	177	-2.4	-53.2	-32.3	3.4	-53.4	-33.2	15.6	15.1	
Subiculum      	93	244	3034	3027	-22.0	-27.1	-15.0	23.7	-26.4	-14.3	53.0	53.2	2348	2358	-22.2	-27.1	-14.7	23.1	-25.8	-14.4	25.2	27.3	
Thal: Motor    	49	176	412	364	-18.7	-23.2	8.5	20.7	-21.8	11.8	49.7	40.7	679	822	-17.4	-21.7	11.4	17.9	-21.8	10.9	10.9	11.0	

Thal: Parietal 	51	179	2538	2664	-20.4	-28.9	8.7	20.0	-28.2	8.2	58.8	54.6	2673	2420	-16.2	-24.2	10.8	17.4	-23.9	9.7	16.0	18.4	
Thal: Prefrontal	36	156	5050	4477	-10.6	-17.6	10.4	10.8	-16.6	9.7	65.6	64.7	4663	4007	-11.9	-19.6	11.7	12.7	-19.0	11.0	28.5	26.5	
Thal: Premotor 	57	188	941	1055	-18.1	-19.3	10.4	18.0	-19.1	9.9	55.6	50.2	1248	1432	-15.6	-20.5	12.1	16.7	-20.6	11.2	14.1	13.7	

Thal: Somatosensory	58	190	249	650	-20.0	-24.4	6.6	19.8	-24.3	8.6	47.8	42.7	798	901	-14.9	-21.8	9.4	17.9	-22.4	10.3	8.5	12.1	
Thal: Temporal 	85	232	4255	4370	-9.9	-23.7	14.3	10.5	-23.7	13.7	50.5	57.6	4011	4171	-13.4	-24.3	11.3	14.4	-23.6	10.7	21.5	21.7	
Thal: Visual   	82	227	717	333	-21.0	-33.3	7.9	23.2	-31.3	3.1	44.7	36.5	2036	1028	-13.7	-24.3	10.8	15.6	-24.3	9.1	12.4	7.6	

Ventral Dentate Nucleus	61	195	397	363	-13.2	-61.7	-26.1	11.9	-61.3	-27.6	48.9	43.2	519	431	-13.6	-61.4	-28.3	11.8	-62.4	-27.9	18.8	16.0	
